Date,ITUB4.SA,PETR4.SA,VALE3.SA,WEGE3.SA,^BVSP
2023-06-14,19.593727111816406,19.83594512939453,52.56011199951172,34.877899169921875,119069.0
2023-06-15,19.85090446472168,19.368051528930664,52.971343994140625,34.850276947021484,119221.0
2023-06-16,19.913454055786133,19.53280258178711,53.05509948730469,34.85948181152344,118758.0
2023-06-19,20.184532165527344,20.046825408935547,52.849491119384766,34.693702697753906,119858.0
2023-06-20,20.174915313720703,20.145675659179688,51.48637390136719,34.03059387207031,119622.0
2023-06-21,20.371334075927734,20.989198684692383,50.968536376953125,33.57009506225586,120420.0
2023-06-22,20.174915313720703,20.725595474243164,50.69438934326172,33.52405548095703,118934.0
2023-06-23,20.111787796020508,19.875484466552734,50.184173583984375,33.70824432373047,118977.0
2023-06-26,20.083723068237305,20.323606491088867,50.29079055786133,33.57752990722656,118243.0
2023-06-27,19.859249114990234,20.165447235107422,50.892391204833984,33.669776916503906,117523.0
2023-06-28,19.74700927734375,20.356555938720703,49.28558349609375,33.74357223510742,116681.0
2023-06-29,19.985517501831055,20.448816299438477,49.887184143066406,33.9834098815918,118383.0
2023-06-30,19.936412811279297,19.46031379699707,48.904823303222656,34.822845458984375,118087.0
2023-07-03,20.327844619750977,19.822763442993164,50.43547821044922,34.767494201660156,119673.0
2023-07-04,20.201496124267578,19.868892669677734,50.184173583984375,34.30628204345703,119076.0
2023-07-05,20.37697410583496,19.8425350189209,49.74249267578125,34.59223556518555,119549.0
2023-07-06,20.075145721435547,19.539392471313477,49.384578704833984,34.029537200927734,117426.0
2023-07-07,20.45418930053711,19.440542221069336,49.849098205566406,34.13100814819336,118898.0
2023-07-10,20.320823669433594,19.473493576049805,49.08758544921875,33.47605895996094,117942.0
2023-07-11,19.96284294128418,19.209890365600586,50.70201110839844,33.16242218017578,117220.0
2023-07-12,19.8435115814209,19.22307586669922,51.05992126464844,33.26388931274414,117666.0
2023-07-13,20.061107635498047,19.526208877563477,52.24789810180664,33.26388931274414,119264.0
2023-07-14,19.850534439086914,19.143993377685547,52.24789810180664,33.20853042602539,117711.0
2023-07-17,20.236589431762695,19.104450225830078,51.66914367675781,32.56281280517578,118219.0
2023-07-18,19.8435115814209,18.999011993408203,51.3416862487793,33.1531867980957,117841.0
2023-07-19,19.632932662963867,19.176942825317383,51.20460891723633,34.970455169677734,117552.0
2023-07-20,19.997936248779297,19.196712493896484,51.3188362121582,35.2010612487793,118083.0
2023-07-21,20.35592269897461,19.559160232543945,51.631065368652344,35.87445068359375,120217.0
2023-07-24,20.033039093017578,19.967744827270508,53.19218063354492,38.46257400512695,121342.0
2023-07-25,20.075145721435547,20.429046630859375,54.83707046508789,37.49961471557617,122008.0
2023-07-26,20.187454223632812,20.429046630859375,54.64668655395508,37.4810905456543,122560.0
2023-07-27,19.73822784423828,19.368051528930664,53.62623977661133,37.36073303222656,119990.0
2023-07-28,20.033039093017578,19.61188316345215,51.50160217285156,37.33295440673828,120187.0
2023-07-31,20.103227615356445,20.50153160095215,52.66673278808594,36.962581634521484,121943.0
2023-08-01,20.1647891998291,20.165447235107422,51.935665130615234,36.90703201293945,121248.0
2023-08-02,20.10157012939453,20.11931800842285,51.09037780761719,37.06443405151367,120859.0
2023-08-03,19.947059631347656,20.376327514648438,51.410221099853516,37.434810638427734,120586.0
2023-08-04,19.581825256347656,19.770042419433594,51.44829559326172,37.82368469238281,119508.0
2023-08-07,19.427303314208984,19.895252227783203,51.70720672607422,37.89777755737305,119380.0
2023-08-08,19.385168075561523,19.915021896362305,51.37214279174805,37.64776611328125,119090.0
2023-08-09,19.31493377685547,20.073183059692383,50.90761947631836,37.75887680053711,118409.0
2023-08-10,19.378143310546875,20.18521499633789,50.30601501464844,37.25888442993164,118350.0
2023-08-11,19.413259506225586,20.139083862304688,49.887184143066406,36.85148239135742,118065.0
2023-08-14,19.132320404052734,20.191801071166992,48.56018829345703,36.39778137207031,116810.0
2023-08-15,19.026960372924805,20.3367862701416,48.08164978027344,36.434814453125,116171.0
2023-08-16,19.01291275024414,20.784908294677734,47.893367767333984,34.8237190246582,115592.0
